City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
126,Kozhva,RU,65.11,57.05,67.77,91,100,10.02,light rain,0.56,0
127,Sayyan,YE,15.17,44.32,70.21,42,99,1.03,overcast clouds,0.0,0
128,Mazagao,BR,-0.12,-51.29,89.6,59,40,11.41,scattered clouds,0.0,0
129,Los Llanos De Aridane,ES,28.66,-17.92,73.4,73,40,19.46,scattered clouds,0.0,0
130,Moindou,NC,-21.69,165.68,53.6,81,1,1.12,clear sky,0.0,0
131,Lukaya,UG,-0.15,31.87,73.4,78,20,4.7,few clouds,0.0,0
132,Clyde River,CA,70.47,-68.59,60.8,44,75,16.11,broken clouds,0.0,0
133,Taoudenni,ML,22.68,-3.98,101.23,12,59,7.92,broken clouds,0.0,0
134,Castro,BR,-24.79,-50.01,61.2,66,53,4.12,broken clouds,0.0,0
135,Jamestown,US,42.1,-79.24,84.2,54,1,11.41,clear sky,0.0,0
136,Sennoy,RU,52.15,46.96,64.33,90,7,8.57,clear sky,0.0,0
137,Cordoba,AR,-31.41,-64.18,68.0,35,100,17.22,overcast clouds,0.0,0
138,Faanui,PF,-16.48,-151.75,78.13,80,34,20.8,scattered clouds,0.0,0
139,Fort Nelson,CA,58.81,-122.7,69.8,46,20,4.7,few clouds,0.0,0
140,Mathbaria,BD,22.29,89.96,82.56,85,100,11.7,overcast clouds,0.0,0
141,Ierapetra,GR,35.01,25.74,77.0,60,0,10.0,clear sky,0.0,0
142,Ancud,CL,-41.87,-73.82,45.0,75,75,8.05,broken clouds,0.0,0
143,Rezekne,LV,56.5,27.32,59.09,97,100,6.04,overcast clouds,0.0,0
144,Lavrentiya,RU,65.58,-171.0,50.95,76,100,3.6,overcast clouds,0.0,0
145,Rocha,UY,-34.48,-54.33,54.75,71,100,11.86,overcast clouds,0.0,0
146,Huarmey,PE,-10.07,-78.15,67.89,66,4,12.33,clear sky,0.0,0
147,Dinar,TR,38.06,30.17,77.0,41,0,4.7,clear sky,0.0,0
148,Jaru,BR,-10.44,-62.47,89.24,44,0,0.92,clear sky,0.0,0
149,Dosso,NE,13.05,3.19,91.69,42,100,13.27,light rain,0.37,0
150,Bundaberg,AU,-24.85,152.35,59.0,100,90,3.36,overcast clouds,0.0,0
151,Axim,GH,4.87,-2.24,75.63,87,60,9.35,broken clouds,0.0,0
152,Wolsztyn,PL,52.12,16.12,71.01,64,40,13.87,scattered clouds,0.0,0
153,Marang,MY,5.21,103.21,78.8,100,20,1.12,few clouds,0.0,0
154,Khatanga,RU,71.97,102.5,56.37,78,95,19.53,overcast clouds,0.0,0
155,Paamiut,GL,61.99,-49.67,42.3,97,100,7.0,overcast clouds,0.0,0
